time_stamp,Acceleration,Gravity,Lidar,Pixel,Velocity,Magnetic,Position,Orientation,Perception,Speed,Behavior
2011-01-01 00:00:00,2.08511002351,-2.18286280701,-11.0381471378,324.267101004,71.9934092469,-49.0309555333,1.14960533389,21.2683174072,112.716299755,300.473177583,walk
2011-01-01 01:00:00,3.60162246721,-23.8267635397,-2.15964642473,307.215709133,97.9507099014,-26.6351898532,0.186751318796,20.7945039458,56.0424781374,301.291353061,wait
2011-01-01 02:00:00,0.000571874086724,-15.4309909781,,298.599768912,,-4.91534072516,-0.101091866592,13.0660521277,36.8086597264,300.158565479,run
2011-01-01 03:00:00,1.51166286316,-2.99234244493,-1.42581364021,309.200210109,70.4966915632,-16.6775908458,0.382454357642,51.9924906869,62.3554779575,300.572917871,run
2011-01-01 04:00:00,0.733779454086,-1.06262099792,-10.7074041183,306.767041883,11.5262003065,28.9687288445,,27.3421876382,70.1173912001,300.330911805,run
2011-01-01 05:00:00,0.461692973844,-24.5307131431,-9.48736977214,312.428531429,5.56053570012,33.7551753587,-0.480366318417,36.4944091564,95.8379855612,300.168962148,wait
2011-01-01 06:00:00,0.931301056888,-14.3437687525,-7.17206833211,298.256341299,40.8888659557,,-0.4609702211,8.76231758374,-44.4953799258,300.111698131,run
2011-01-01 07:00:00,1.72780363522,-11.9885563226,-6.19984443669,281.686786448,80.8579549445,31.589484431,-1.12762759046,27.6698600834,-46.8872278916,300.133458939,walk
2011-01-01 08:00:00,1.98383737115,-14.1556162049,-9.34906898173,305.137263273,24.9622145479,-29.782117527,0.193016686014,22.9815428085,59.8027169015,300.785403016,walk
2011-01-01 09:00:00,2.69408367002,-8.69707828103,-2.86244945327,318.324147117,-7.24825924772,17.5389776439,1.20602399729,4.55002314297,-100.268372532,300.587564946,run
2011-01-01 10:00:00,2.09597257202,-19.6348652652,-1.03431261387,287.889898125,64.2891081209,35.9142176562,0.423314443707,12.6740203731,-51.782497397,300.745253716,walk
2011-01-01 11:00:00,3.42609750198,-6.72946445616,-3.7065034504,277.33606437,60.7742432816,-62.1742464724,-1.21835501915,18.0884090887,26.8717902631,300.869073741,wait
2011-01-01 12:00:00,1.02226124866,-1.97307306316,-4.6003119658,308.302978985,27.6616091659,20.0056574763,-0.566794225014,44.2398802437,186.842403477,300.248568431,run
2011-01-01 13:00:00,4.39058718195,-22.4068599696,-3.48504180059,298.878301771,59.4117695683,-71.6908505607,-0.431660296038,0.53929842747,-2.75819860712,301.640905752,wait
2011-01-01 14:00:00,,-11.2927024863,-5.92117105135,289.475734203,2.53838174396,-20.1848964253,-0.334145039949,20.989150613,-3.36511001264,299.914478144,wait
2011-01-01 15:00:00,3.35233755089,-31.5143856853,-5.09018565409,301.395667731,27.6460852242,35.1213567251,0.0148276136343,22.4172790387,-123.010762229,301.098923869,wait
2011-01-01 16:00:00,2.08652401184,-33.8462703322,-8.81672510494,293.975943112,56.4177563767,-28.7317378101,-0.895055426767,56.0458254482,189.883797642,300.371687091,wait
2011-01-01 17:00:00,2.79344914223,-6.28571935314,-1.69625193736,294.554540947,-13.542794885,-24.3390060592,0.462919569849,55.295141907,-47.8588921572,301.036081297,walk
2011-01-01 18:00:00,0.701934692976,-32.0450405871,-3.5738864529,331.183542061,16.7282921674,-31.8768307544,1.47192995829,57.4317486556,-105.969011999,300.458917562,walk
2011-01-01 19:00:00,0.990507445424,,-11.1013070218,305.874392989,12.202142869,0.62860204909,-0.358189815228,42.6694078686,32.2621037953,300.255822679,run
2011-01-01 20:00:00,4.00372284338,-18.1018548172,-2.29954678569,305.101531117,74.035846217,-19.2357703975,0.849847698199,24.1127509719,32.2318560119,301.141925462,walk
2011-01-01 21:00:00,,-27.3562643754,-8.40445290821,300.249956344,22.5230420064,42.841876873,-1.46965490482,46.3694400659,-186.890833262,301.582848869,wait
2011-01-01 22:00:00,1.5671208908,-29.6986523457,-8.16331853196,293.866376371,-43.3573413817,30.2871247402,-0.964885086964,4.06918356853,62.5833691999,300.436486786,walk
2011-01-01 23:00:00,3.46161307835,-11.7798458007,-8.14726977565,314.35088552,67.3639782652,0.875730576021,0.385529596338,28.3284977946,216.387420055,300.776751584,walk
2011-01-02 00:00:00,4.38194576148,-16.9813149516,-8.47247513436,296.634187705,126.998432602,19.3282399383,-0.485421181879,63.0812143432,-100.410540766,301.148687667,wait
2011-01-02 01:00:00,4.47303331752,-34.0786523516,-6.63830728224,298.523028647,111.931233476,5.28298958945,-1.05182587047,51.644503065,132.091806569,301.688867642,walk
2011-01-02 02:00:00,0.425221056849,-15.448433744,-8.5553954276,288.5080729,103.943141755,32.808863273,0.129197233636,8.44269017032,19.146708265,300.430308445,walk
2011-01-02 03:00:00,0.195273916164,-0.700841419422,-9.47534511381,323.21545065,-112.907595435,18.0714034331,-1.02563760869,8.62114399666,-75.6533431039,300.033923785,run
2011-01-02 04:00:00,0.849152097823,-29.3508526276,-10.0225447319,325.334222991,16.9444527186,48.4222089008,,7.4464866832,-71.2102089502,299.952938109,run
